    
Star Data Extractor Tool (Note: This program mocks format of AIP_4_WIN)
     Image: m23_3.5_001.fit
     Stars Found:  2510
     Radius of star diaphragm: 4 and 3
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor:  0.000000
      X                Y           Sigma            FWHM         Sky ADU           Star ADU 4         Star ADU 3     
  739.36          412.79            0.00            0.00           735.8             8859.2             8576.5
  312.84          937.08            0.00            0.00           739.5             8000.2             6551.9
  385.86          649.57            0.00            0.00           739.6             8900.7             8014.0
  315.98          328.10            0.00            0.00           754.0             8718.1             8049.6
  929.50          796.40            0.00            0.00           736.2             8534.6             7577.5
  789.05          299.58            0.00            0.00           730.4             8543.7             8044.2
  677.42          379.19            0.00            0.00           731.7             7808.2             7227.8
  455.76          104.21            0.00            0.00           731.1             7553.3             6371.5
  335.54          521.43            0.00            0.00           743.7             8589.0             7745.5
  794.06          600.34            0.00            0.00           733.8             9377.3             9010.3
  227.67          377.53            0.00            0.00           749.9             8590.5             7593.6
  957.28          133.05            0.00            0.00           733.4             9533.6             8649.9
  473.08          832.49            0.00            0.00           734.0             8654.1             7873.1
  301.38          336.53            0.00            0.00           754.0             8091.9             7229.4
  313.44          937.42            0.00            0.00           739.5             8000.2             6551.9
   38.00          559.47            0.00            0.00           735.2             8236.1             6944.2
